STEPTYPE,DESIGN_ID,STEP,MFG_WORKWEEK,MOD_CUSTOM_TEST_FLOW,BOOT,COL_FUSE,DB,DB_SAMEROW,DOUBLE_SECTION_PERIPH,HALF_BANK,HANG,HGDC,MULTI_BANK_2ROW,MULTI_BANK_BA1_SINGLE_DQ,MULTI_BANK_MULTI_DQ,MULTI_BANK_SINGLE_DQ,MULTI_HALFBANK_MULTI_DQ,MULTI_HALFBANK_SINGLE_DQ,NOFA,QUAD_SECTION_PERIPH,QUINT_SECTION_PERIPH,ROW,ROW_LOCAL,ROW_LOCAL_SWL_ARM,SB,SB_MODSYS,SECTION_FAIL_PERIPH,SECTION_TWO_ROW,SINGLE_BANK,SINGLE_BANK_2CP,SINGLE_BURST_SINGLE_ROW,SYS_EVEN_BURST_BIT,SYS_ODD_BURST_BIT,TRIPLE_SECTION_PERIPH,TWO_ROW_SHORT,UNKNOWN,ALL(DPM),ALL,UIN
SLT,Y6CP,QMON,202605.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,134.9,0.0,16.6,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,166.0,20.0,120448.0
SLT,Y6CP,QMON,202606.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,6.0,0.0,133.0,0.0,19.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,191.3,32.0,167233.0
SLT,Y6CP,QMON,202607.0,-,0.0,0.0,5.4,0.0,0.0,5.4,0.0,0.0,0.0,0.0,135.1,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,172.9,32.0,185080.0
SLT,Y6CP,QMON,202608.0,-,0.0,0.0,0.0,3.3,0.0,0.0,6.6,0.0,0.0,0.0,130.6,0.0,26.5,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0.0,198.4,30.0,151192.0
SLT,Y6CP,QMON,202609.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,1.0,32966.0
SLT,Y6CP,QMON,202610.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,5.6,0.0,82.1,0.0,10.9,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,43.6,3.6,0.0,1.2,0.0,0.0,170.7,47.0,275335.0
SLT,Y6CP,QMON,202611.0,-,0.0,0.0,12.5,0.0,0.0,0.0,0.0,4.8,0.0,0.0,86.8,0.0,0.0,5.0,0.0,0.0,0.0,13.3,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,15.0,2.5,0.0,0.0,0.0,180.0,36.0,200026.0
SLT,Y6CP,QMON,202612.0,-,0.0,0.0,2.2,2.2,0.0,0.0,0.0,8.4,11.7,0.0,145.0,0.1,0.0,13.2,0.0,0.0,0.0,1.1,4.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,35.1,4.5,0.1,0.0,0.0,0.0,228.0,52.0,228117.0
SLT,Y6CP,QMON,202613.0,-,0.0,0.0,4.7,0.0,4.1,0.0,0.0,12.1,0.0,0.0,105.4,0.0,0.7,10.1,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.7,12.2,4.1,0.0,0.0,22.3,6.1,8.1,0.0,4.1,0.0,202.7,50.0,246640.0
SLT,Y6CP,QMON,202614.0,-,0.0,0.0,12.8,0.0,0.0,0.0,0.0,12.8,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,6.4,0.0,0.0,25.6,6.4,12.8,0.0,0.0,0.0,179.3,28.0,156200.0
Total,,,,,0.8,0.1,4.1,0.6,0.3,0.4,7.7,23.3,3.4,0.0,118.2,1.0,11.9,4.8,1.0,0.0,0.1,3.1,0.3,0.3,2.8,1.2,2.0,0.7,1.0,0.3,42.4,6.9,2.3,0.1,0.3,0.0,241.4,895.6,3710502.8
